user_id,item_id
3914244,441607 3406232 897687 2836950 2025324 1719704 2923234 2154725 441943 926660 3352394 326636 748023 1098146 1639155 2024558 2213312 747512 2619780 354976
3382028,1588396 3096625 441943 431267 326636 3177202 1228310 3138127 3494411 1784756 1214994 3063119 2052621 1822098 1062000 2118200 842474 2691950 2552222 1073122
7138856,1588396 3096625 441943 431267 326636 3177202 1228310 3138127 3494411 1784756 1214994 3063119 2052621 1822098 1062000 2118200 842474 2691950 2552222 1073122
9329356,1890828 440801 2637798 3560256 1961815 523724 1195366 503918 3394106 2233086 1553743 221879 2931290 1469062 3267518 2582139 1290849 1950186 85638 1310655
3380952,1612141 771563 635758 90813 1895272 3488644 526283 197605 1126657 1885318 136210 1517728 2807087 2970666 2516971 2119759 1326347 1143820 1313738 2374716
9176288,2998255 3169944 2569072 243095 967230 18543 1119128 1775658 2357720 1486461 2420058 864863 1631293 3001842 1202791 428040 3406232 1028658 1712261 1857713
8129068,507124 1673002 3416410 1634935 3180520 807517 713468 961674 1871869 2197879 255250 1133580 3120563 200117 158614 847954 1437949 1357954 2273311 264173
3060480,1370010 1308971 525177 713202 2994354 3363393 2647288 960345 1258248 1258758 14115 836783 1731735 2431177 3378194 1896950 1225014 3050814 2442487 2822255
8261076,2039243 2118316 1175658 1521548 1707789 1494623 3400600 2020473 334747 1230327 1924642 2339534 1690028 2335520 1521378 1783350 2212785 2458438 3374147 574095
8687684,3434885 1786589 2647288 1598496 1103694 2695350 558992 3125292 3320230 1207918 3184706 639933 1270186 558437 2280819 7653 2127772 2658901 1370890 1259262
2070680,3485950 1635507 2513785 1768974 295003 3451587 1528157 3041607 344865 2625232 1266833 2055360 3015972 72017 2207648 2701088 2248243 1360634 2693141 48871
3514868,258501 942630 44436 326398 2985644 70013 2716348 2260933 1334888 2588426 424664 330815 762010 1926684 3038339 2451941 3037227 1195366 1933476 2866015
8417980,142103 1338602 938219 326636 3377076 2615948 2512244 221879 3055827 1370010 203923 2857074 2086370 2255706 1463550 1140142 3064589 2485478 1386360 134398
9363536,1809775 3267518 2804519 3119879 1103694 2381315 1598496 2455567 1961707 1191741 2394355 142103 3432242 425496 2132277 3075658 1004624 1191623 2695350 2420903
2814832,1588396 3096625 441943 431267 326636 3177202 1228310 3138127 3494411 1784756 1214994 3063119 2052621 1822098 1062000 2118200 842474 2691950 2552222 1073122
9974400,1337185 2807087 1191623 12952 2695350 66515 3431748 3054097 1050349 626533 3267518 2994354 3220149 3119879 2380782 1103694 2084115 2796137 3340398 1933476
8374032,2354598 1638130 2539084 1214994 3449762 3431144 1414362 1771271 1389665 3273412 2131922 2959873 979346 1830042 2439248 1955358 2881256 770079 2421114 1062000
3006876,1588396 3096625 441943 431267 326636 3177202 1228310 3138127 3494411 1784756 1214994 3063119 2052621 1822098 1062000 2118200 842474 2691950 2552222 1073122
1616064,1588396 3096625 441943 431267 326636 3177202 1228310 3138127 3494411 1784756 1214994 3063119 2052621 1822098 1062000 2118200 842474 2691950 2552222 1073122
2624356,1588396 3096625 441943 431267 326636 3177202 1228310 3138127 3494411 1784756 1214994 3063119 2052621 1822098 1062000 2118200 842474 2691950 2552222 1073122
7281544,1863603 3395441 397602 2075462 472886 1161540 561949 1126106 3112833 927749 627213 2121093 183357 547668 1895359 330895 3542551 2616152 3520777 2436104
2427808,2380782 2567253 2345657 328177 3018978 558437 2266333 2693603 3027221 3415420 159964 2193531 1754937 742609 2613906 2654823 3412361 2798642 277804 890337
7611076,1588396 3096625 441943 431267 326636 3177202 1228310 3138127 3494411 1784756 1214994 3063119 2052621 1822098 1062000 2118200 842474 2691950 2552222 1073122
2520320,3168084 2202045 1733808 108630 783411 1087132 3351188 1865085 1004977 145072 1685754 749896 2995181 2848039 461005 275735 481144 1152678 795054 3077851
3356500,1588396 3096625 441943 431267 326636 3177202 1228310 3138127 3494411 1784756 1214994 3063119 2052621 1822098 1062000 2118200 842474 2691950 2552222 1073122
9941584,367764 3408153 2454979 1521548 52663 1450829 374088 3369669 332934 1196432 1638130 375291 361880 2928158 2989542 1803744 1124058 690613 2807233 1389665
2665304,1588396 3096625 441943 431267 326636 3177202 1228310 3138127 3494411 1784756 1214994 3063119 2052621 1822098 1062000 2118200 842474 2691950 2552222 1073122
6483248,1588396 3096625 441943 431267 326636 3177202 1228310 3138127 3494411 1784756 1214994 3063119 2052621 1822098 1062000 2118200 842474 2691950 2552222 1073122
7277152,1588396 3096625 441943 431267 326636 3177202 1228310 3138127 3494411 1784756 1214994 3063119 2052621 1822098 1062000 2118200 842474 2691950 2552222 1073122
7382852,1214994 1850051 2420523 1088508 733236 3223913 1154780 2325916 794927 70506 822111 802771 431267 1879356 1149149 750770 2970666 119591 3291505 771179
3045272,3344895 990482 2857015 2222241 3359532 2552139 1316829 1128258 2398826 1140579 911289 2314019 231125 585002 2238243 1912655 2855740 1672283 1451659 2525605
5955044,1588396 3096625 441943 431267 326636 3177202 1228310 3138127 3494411 1784756 1214994 3063119 2052621 1822098 1062000 2118200 842474 2691950 2552222 1073122
7738632,3470868 3489820 2168338 2425003 470540 1640425 3270842 2881256 3286718 784769 998008 2484764 363426 17964 48904 1292171 701661 1646295 83660 845467
4473900,1588396 3096625 441943 431267 326636 3177202 1228310 3138127 3494411 1784756 1214994 3063119 2052621 1822098 1062000 2118200 842474 2691950 2552222 1073122
6545448,1650052 1365857 911667 2404939 166181 3162238 2483935 1481302 2988647 3375462 1879079 3190913 2036004 2821367 691201 2801021 431448 561142 1338602 2834121
8078368,2036195 2346924 2923475 2077952 2940650 1809775 388722 2714103 430494 2004304 2814617 1686391 645475 558992 918390 977575 108572 1030410 1140579 413517
9081744,1588396 3096625 441943 431267 326636 3177202 1228310 3138127 3494411 1784756 1214994 3063119 2052621 1822098 1062000 2118200 842474 2691950 2552222 1073122
1468660,1588396 3096625 441943 431267 326636 3177202 1228310 3138127 3494411 1784756 1214994 3063119 2052621 1822098 1062000 2118200 842474 2691950 2552222 1073122
3132352,1367121 2121093 627213 927749 3112833 1857713 3138127 326636 1247310 1449034 2151384 828893 1335375 558605 239105 1466036 1661475 2411820 2983177 3122395
4752656,2133909 1486184 1701866 425496 762010 2814091 776107 3308242 2222241 659205 1769628 226705 2923475 1754937 742609 558992 2552139 1103694 3331175 2931697
8271052,359102 1370890 480725 1119073 300745 2859686 2281275 2833592 1422082 546277 865173 1870059 2357982 1270238 900522 2295612 3125169 1670389 2501401 2925647
2403120,1588396 3096625 441943 431267 326636 3177202 1228310 3138127 3494411 1784756 1214994 3063119 2052621 1822098 1062000 2118200 842474 2691950 2552222 1073122
6158344,1588396 3096625 441943 431267 326636 3177202 1228310 3138127 3494411 1784756 1214994 3063119 2052621 1822098 1062000 2118200 842474 2691950 2552222 1073122
8864572,1933476 2485279 3294166 3012465 2805092 1308971 1391713 282246 3245518 1433303 2442394 2505503 326636 3125292 1055639 3413718 666969 1196432 3220149 1449543
2859868,1588396 3096625 441943 431267 326636 3177202 1228310 3138127 3494411 1784756 1214994 3063119 2052621 1822098 1062000 2118200 842474 2691950 2552222 1073122
9418132,1588396 3096625 441943 431267 326636 3177202 1228310 3138127 3494411 1784756 1214994 3063119 2052621 1822098 1062000 2118200 842474 2691950 2552222 1073122
4791300,1588396 3096625 441943 431267 326636 3177202 1228310 3138127 3494411 1784756 1214994 3063119 2052621 1822098 1062000 2118200 842474 2691950 2552222 1073122
4829944,3347382 1857713 1367121 2710359 172681 2154725 1074652 1415408 3016989 1990801 2248314 2309290 326636 867968 2015602 1062000 1319394 1641556 1933655 2747583
8791428,652138 2859686 2398826 300745 932481 1486184 1450896 367931 2785395 1203095 2281275 2833592 1422082 546277 2450291 1370010 274484 3354556 3549290 2224762
7510944,1007987 1919771 1638130 367764 3408153 2454979 52663 1521548 1450829 374088 3369669 332934 1196432 375291 361880 2928158 594100 690613 2807233 2989542
9297164,303926 609174 561949 1895359 547668 270341 1952641 3453256 3479328 2476143 1505212 772732 2967298 335997 2325916 243095 1303935 3295176 1033359 904697
1365424,1588396 3096625 441943 431267 326636 3177202 1228310 3138127 3494411 1784756 1214994 3063119 2052621 1822098 1062000 2118200 842474 2691950 2552222 1073122
4652132,294642 1588396 3134923 1849052 747624 1063228 1962393 1628045 3194910 432739 794927 1668953 2809143 2777927 1101489 2713218 1946252 428040 3121559 606810
9013328,1588396 3096625 441943 431267 326636 3177202 1228310 3138127 3494411 1784756 1214994 3063119 2052621 1822098 1062000 2118200 842474 2691950 2552222 1073122
4773560,1588396 3096625 441943 431267 326636 3177202 1228310 3138127 3494411 1784756 1214994 3063119 2052621 1822098 1062000 2118200 842474 2691950 2552222 1073122
4053872,2269813 3110237 1568805 417915 299187 3115688 1259963 3205160 2691950 1073122 2822853 1749887 2905959 1366047 2038944 3124118 1588396 865859 854334 3055637
3962636,2554846 1948096 1004918 2036966 3315492 783397 524975 979346 413517 2860414 1086344 3311132 2653863 1553743 3422659 3432242 1592185 522926 2530351 108572
2755324,287729 1250393 2822255 1622621 1730668 774817 1033689 363381 730936 975883 1175262 2516971 1941473 3068994 1297620 453537 491879 1351896 3029518 1287531
6685932,441943 2682661 2269813 299187 417915 1568805 3267518 3434885 2609431 2802098 3102531 3432242 209437 1668953 687090 3240356 1575372 1890828 2887154 2135722
3478584,1172651 411497 1980724 342709 437750 2689943 1515513 3036509 473241 3192261 2377920 53677 3354561 227579 375041 3432242 293436 186434 1381125 2594976
7202940,1588396 3096625 441943 431267 326636 3177202 1228310 3138127 3494411 1784756 1214994 3063119 2052621 1822098 1062000 2118200 842474 2691950 2552222 1073122
5810124,3349101 1616744 582734 3220149 1095555 3040074 3001973 929280 661907 237082 1270238 1598549 263881 2704812 1763297 2078982 1268657 3016989 1391713 3245518
5945600,1588396 3096625 441943 431267 326636 3177202 1228310 3138127 3494411 1784756 1214994 3063119 2052621 1822098 1062000 2118200 842474 2691950 2552222 1073122
9558036,788160 2383922 3372765 1942631 632000 477632 1537840 1585187 3471846 3498008 3260154 140069 3151344 2806921 1657217 1051147 3229208 2879321 334115 1199022
5050108,1588396 3096625 441943 431267 326636 3177202 1228310 3138127 3494411 1784756 1214994 3063119 2052621 1822098 1062000 2118200 842474 2691950 2552222 1073122
4113156,326636 397602 1370890 1902061 2739549 3267518 777290 323812 64135 2267806 3031723 776045 614436 197581 3097881 3125292 658143 343406 3248140 3481262
1820168,2834121 1228310 2080288 3421651 294642 172681 3372765 2683131 1588396 1418623 2836950 985285 3315492 1112643 523613 3362157 794927 1775658 2283165 2879321
9897232,3119879 3363393 2713218 1643411 142103 3026652 777290 757902 942910 1932428 198125 2946467 2540971 2336618 293436 3202386 2487782 2785395 1946252 758835
9516908,1588396 3096625 441943 431267 326636 3177202 1228310 3138127 3494411 1784756 1214994 3063119 2052621 1822098 1062000 2118200 842474 2691950 2552222 1073122
